fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230906 062024	-0.518676471904022	2205	418	6	10	5	69844600	182
20230906 062536	-0.509392324573536	2156	393	6	10	5	69470800	183
20230906 062838	-0.0943076816514325	7754	2800	3	10	5	50831900	184
20230906 063832	-0.486889438025071	2284	135	20	10	5	65274300	185
20230906 064448	-0.876188309831665	4415	2198	13	10	5	58142000	186
20230906 065326	-0.667462321269988	2253	339	16	10	5	67501700	187
20230906 065952	-0.357640487733653	4594	1773	20	10	5	56977900	188
20230906 070838	-0.563749169833526	2264	272	17	10	5	67359600	189
20230906 071140	-0.885873541817259	7998	2558	3	10	5	50976100	190
20230906 071445	-0.4749140360084	6450	2279	3	10	5	50284500	191
20230906 072132	-0.647049224493835	3562	1780	16	10	5	59892700	192
20230906 072823	-0.101210962011915	4459	1295	20	10	5	59444700	193
20230906 073329	-0.521865007642865	4816	1350	6	10	5	56969500	194
20230906 074151	-0.280307447340789	1729	484	19	10	5	67112500	195
20230906 074456	-0.62133319559603	8000	3675	3	10	5	50817200	196
20230906 075013	-0.724238804311243	2234	333	6	10	5	69854400	197
20230906 075642	-0.894132793017678	7998	1178	20	10	5	51268700	198
20230906 080202	-0.669520427692576	2235	327	6	10	5	69857900	199
20230906 081018	-0.733036633347984	2255	455	13	10	5	67951800	200
20230906 081637	-0.0677767200358976	7998	2495	20	10	5	51205000	201
20230906 082159	-0.891733291416026	2255	304	6	10	5	69332900	202
20230906 083534	-0.777944435835454	2908	1	19	10	5	61430600	203
20230906 084114	-0.537737016031725	2263	334	6	10	5	69794900	204
20230906 084646	-0.305277917231141	2193	465	6	10	5	69794200	205
20230906 085212	-0.144138514619119	2196	462	6	10	5	69745200	206
20230906 085749	-0.523834668019505	2209	338	6	10	5	69834800	207
20230906 090326	-0.551798744883658	2209	333	6	10	5	69867700	208
20230906 090848	-0.113538234947748	4094	498	6	10	5	60984000	209
20230906 091416	-0.730612617738024	2820	300	6	10	5	68487300	210
20230906 092255	-0.0976744324679122	2284	486	17	10	5	67763500	211
20230906 092841	-0.201993865731421	2190	462	6	10	5	69794200	212
20230906 093421	-0.225671176206033	2229	473	6	10	5	69871200	213
20230906 093924	-0.517519995418892	2268	338	5	10	5	67978400	214
20230906 094457	-0.280960104083882	2148	555	6	10	5	68237400	215
20230906 095143	-0.789795422930258	7988	2592	17	10	5	51375800	216
20230906 100052	-0.892548522434104	2270	469	20	10	5	67902800	217
20230906 100626	-0.892251868861778	2247	499	6	10	5	69710900	218
20230906 101152	-0.598363593687789	2272	323	6	10	5	69801200	219
20230906 101931	-0.406351716719537	2991	962	17	10	5	61245800	220
20230906 102317	-0.269766648142807	8000	3996	4	10	5	51684500	221
20230906 102836	-0.465421749317764	2307	455	6	10	5	69800500	222
20230906 103406	-0.58304197496707	2237	334	6	10	5	69810300	223
20230906 103844	-0.297242314815282	7226	1608	5	10	5	51726500	224
20230906 105400	-0.998623228454136	4	2	20	10	5	25732700	225
20230906 110329	-0.884944935152759	2708	715	20	10	5	63615300	226
20230906 110957	-0.725306360144208	2263	149	6	10	5	68518100	227
20230906 111643	-0.585328299185004	6112	2040	20	10	5	52550400	228
20230906 112233	-0.998492121999767	8000	3998	20	10	5	51683800	229
20230906 112821	-0.257003132921484	7395	3697	15	10	5	51337300	230
20230906 113137	-0.779257113588065	5704	2849	3	10	5	50737400	231
20230906 113702	-0.729736492478692	2292	455	6	10	5	69726300	232
20230906 114228	-0.665103467245547	2248	342	6	10	5	69815200	233
20230906 114755	-0.680799709496106	2198	334	6	10	5	69745900	234
20230906 115634	-0.889626640265179	1500	483	17	10	5	66914400	235
20230906 120218	-0.611488315367875	1864	331	6	10	5	69561800	236
20230906 120701	-0.0921387892298775	3842	1916	5	10	5	59426500	237
20230906 121220	-0.892158908668805	5385	136	6	10	5	55040300	238
20230906 121749	-0.753413984092255	2339	317	6	10	5	69036100	239
20230906 122535	-0.114118858443228	2312	791	17	10	5	61753300	240
20230906 123102	-0.899185163993049	2189	464	6	10	5	69794200	241
20230906 123625	-0.894521573417314	2769	455	6	10	5	68822600	242
20230906 124150	-0.724419210018447	1669	335	6	10	5	69899200	243
20230906 124728	-0.668041077385343	1637	336	6	10	5	69771800	244
20230906 125311	-0.723944416917629	1731	423	6	10	5	69434400	245
20230906 125859	-0.727502267192756	1103	234	6	10	5	68624500	246
